product_id,title,tags,category,popularity_score
1,Boho Summer Dress,"boho,summer,pastel",dresses,88
2,Minimalist Black Jeans,"dark,minimal,denim",pants,75
3,Casual Blue Shirt,"casual,blue,cotton",shirts,82
4,Floral Skirt,"floral,pastel",skirts,70
5,Pastel Crop Top,"pastel,summer,casual",tops,91
6,Denim Jacket,"denim,blue,casual",jackets,79
7,Formal Trousers,"formal,grey,workwear",pants,65
8,Summer Tank Top,"summer,boho,casual",tops,87
9,Graphic Tee,"graphic,urban,tees",tops,69
10,Longline Hoodie,"hoodie,winter,comfy",tops,72
11,Winter Parka,"comfy,warm,winter",jackets,74
12,Work Shirt,"formal,blue",shirts,76
13,Leather Jacket,"leather,biker,dark",jackets,73
14,Maxi Dress,"elegant,maxi,party",dresses,80
15,Beach Shorts,"summer,beach,casual",shorts,67
16,Gym Leggings,"fitness,stretchy,gym",pants,66
17,Boho Tunic,"boho,tunic,light",tops,78
18,Pleated Skirt,"pleated,elegant",skirts,70
19,Printed Kurti,"ethnic,printed,casual",tops,69
20,Classic White Shirt,"classic,white,formal",shirts,77
